NAME,RATING,AREA,DISHES,APPROX,DISC
2 Moons,3.8,"1MG Road Mall, MG Road","Cocktail Menu, Multicuisine",₹ 2500 for two approx.,10% Off + 25% Off
Street Storyss,4.0,"Brigade Road, Central Bengaluru",Multicuisine,₹ 1500 for two approx.,10% Off + 25% Off
Nothing Before Coffee,4.0,"Richmond Town, Central Bengaluru",Cafe,₹ 2000 for two approx.,20% Off + 25% Off
Karnatic,3.8,"Church Street, Central Bengaluru",Andhra,₹ 2000 for two approx.,15% Off + 25% Off
Ging,4.3,"Royal Orchid Central, Bengaluru","Cocktail Menu, oriental",₹ 2500 for two approx.,25% Off + 25% Off
Central Flavors,4.0,"Hennur, North Bengaluru","North Indian, Chinese",₹ 2000 for two approx.,50% Off + 25% Off
Adda 1522,4.4,"Ulsoor, East Bengaluru","European, Finger Food, North Indian, Indian Coastal Cuisine, Chicken, Barbeque",₹ 2000 for two approx.,25% Off :Payeazy
Gatsby,4.4,"Bannerghatta Road, South Bengaluru",Multicuisine,₹ 2000 for two approx.,20% Off + 25% Off
Rice Bowl,3.0,"Ulsoor, East Bengaluru",Pan Asian,₹ 2500 for two approx.,30% Off + 25% Off
Sea Rock Family Restaurant & Bar,4.7,"Seshadripuram, Central Bengaluru",Multicuisine,₹ 2000 for two approx.,10% Off + 25% Off
Good Flippin' Burgers,4.0,"Church Street, Central Bengaluru  | View All(5) Outlets",American,₹ 1100 for two approx.,10% Off + 25% Off
The Biere Club,4.4,"Lavelle Road, Central Bengaluru  | View All(2) Outlets","Cocktail Menu, Multicuisine",₹ 2000 for two approx.,10% Off + 25% Off
The Big Barbeque,4.0,"Marathahalli, East Bengaluru  | View All(3) Outlets","Multicuisine, Barbeque",₹ 2000 for two approx.,1+1 Buffet + 25% Off
Cafe Stone,4.1,"Commercial Street, Central Bengaluru",Multicuisine,₹ 2000 for two approx.,25% Off :Payeazy
Oney By Hammered,4.0,"Cunningham Road, Central Bengaluru","Asian, Continental",₹ 2000 for two approx.,10% Off + 25% Off
Botany Brew & Kitchen,4.0,"Ashok Nagar, Bengaluru",Multicuisine,₹ 2000 for two approx.,25% Off + 25% Off
Misu,4.7,"Palace Road, Central Bengaluru  | View All(3) Outlets",Pan Asian,₹ 2500 for two approx.,15% Off + 25% Off
You Mee,4.3,"Orion Mall, Malleshwaram",Pan Asian,₹ 2000 for two approx.,15% Off + 25% Off
Kudla,5.0,"Sampangi Rama Nagar, Bengaluru",Multicuisine,₹ 2500 for two approx.,15% Off + 25% Off
Watson's,4.4,"Ulsoor, East Bengaluru  | View All(4) Outlets",Multicuisine,₹ 2000 for two approx.,25% Off :Payeazy
CBD Central Bar District,5.0,"MSR Nagar, Bengaluru",Multicuisine,₹ 1200 for two approx.,25% Off :Payeazy
Shiro,4.3,"UB City, Central Bengaluru","Japanese, Pan Asian, Asian",₹ 2500 for two approx.,25% Off :Payeazy
Aromas of Asia,1.0,"Hotel 37th Crescent, Bengaluru",Multicuisine,₹ 2000 for two approx.,20% Off + 25% Off
Blah Bla (Indigo XP),3.9,"Koramangala, South Bengaluru",Multicuisine,₹ 2000 for two approx.,40% Off + 25% Off
Scottish Pub,4.8,"St. Marks Road, Central Bengaluru",Multicuisine,₹ 2000 for two approx.,10% Off + 25% Off
"Salt - Pan Indian Restaurant, Bar & Grill",4.2,"UB City, Central Bengaluru  | View All(5) Outlets","Indian, Cocktail Menu",₹ 2000 for two approx.,25% Off :Payeazy
Frenzy Pub,4.5,"Marathahalli, East Bengaluru",Multicuisine,₹ 2000 for two approx.,40% Off + 25% Off
Howl’n Pub,4.3,"Church Street, Central Bengaluru",Multicuisine,₹ 1400 for two approx.,10% Off + 25% Off
