NAME,RATING,AREA,DISHES,APPROX,DISC
Allora,4.5,"Viman Nagar, Pune",Italian,₹ 1200 for two approx.,15% Off + 25% Off
GILT Club,2.5,"Kharadi, Pune",Multicuisine,₹ 1200 for two approx.,50% Off + 25% Off
Garuda Restro Sky Bar,2.8,"Hinjawadi, Pune","Multicuisine, Cocktail Menu",₹ 1800 for two approx.,60 Discount + 25% Off
The Time Table At Ventive,4.0,"Koregaon Park, Pune","Continental, Healthy Food",₹ 1000 for two approx.,20% Off + 25% Off
The Daark Horse,2.7,"Koregaon Park, Pune",Multicuisine,₹ 1200 for two approx.,25% Off + 25% Off
Indimex ,3.0,"Magarpatta, Pune",Multicuisine,₹ 1500 for two approx.,50% Off + 25% Off
Wow! Momo,4.0,"Camp Area, Pune  | View All(13) Outlets",Momos,₹ 400 for two approx.,15% Off + 25% Off
 Bean Social,4.0,"Shivaji Nagar, Pune",Cafe,₹ 300 for two approx.,15% Off + 25% Off
Atmosphere 6,4.6,"Viman Nagar, Pune",Multicuisine,₹ 2000 for two approx.,20% Off + 25% Off
Barbeque Nation,4.7,"Kalyani Nagar, Pune  | View All(8) Outlets","Multicuisine, Barbeque",₹ 2050 for two approx.,25% Off :Payeazy
The Ruby Hilltop,4.3,"Pashan, Pune","Cocktail Menu, Multicuisine",₹ 1400 for two approx.,20% Off + 25% Off
Pune Sugar Box,5.0,"Conrad Pune, Pune","Desserts, Bakery",₹ 1200 for two approx.,15% Off + 25% Off
BOVI Lounge & Bar,5.0,"Pashan, Pune",Multicuisine,₹ 1600 for two approx.,30% Off + 25% Off
Zeera,4.6,"Conrad Pune, Pune",Indian,₹ 4000 for two approx.,15% Off + 25% Off
Klinq - Cocktails & Cuisine,4.0,"Viman Nagar, Pune",Multicuisine,₹ 1400 for two approx.,10% Off + 25% Off
Puran Da Dhaba ,3.9,"The Pride Hotel, Pune",North Indian,₹ 1500 for two approx.,25% Off + 25% Off
Rustic Sand,5.0,"Hotel Rajmudra, Pune",Multicuisine,₹ 1500 for two approx.,25% Off + 25% Off
Ruhmani,3.9,Hilton Garden Inn Pune Hinjawadi,"Indian, Mughlai",₹ 3000 for two approx.,50% Off + 25% Off
Cafe 1730,4.3,"Kharadi, Pune  | View All(1) Outlets",Multicuisine,₹ 1400 for two approx.,15% Off + 25% Off
The Camden Lane,4.5,"Koregaon Park, Pune",Multicuisine,₹ 1200 for two approx.,25% Off :Payeazy
Cafe Rova,4.6,"Kharadi, Pune",Multicuisine,₹ 600 for two approx.,30% Off + 25% Off
Mirage,4.0,"Sangamvadi, Pune",Pan Asian,₹ 2000 for two approx.,25% Off :Payeazy
L7 - Luxury Club & Kitchen,4.0,"Koregaon Park, Pune",Multicuisine,₹ 1400 for two approx.,30% Off + 25% Off
Teera,3.9,"Wakad, Pune",Multicuisine,₹ 1500 for two approx.,25% Off + 25% Off
Gelato Italiano,4.0,"Raja Bahadur Mill Road, Pune  | View All(7) Outlets",Ice Cream,₹ 300 for two approx.,10% Off + 25% Off
The Walnut Tree,4.0,"Koregaon Park, Pune","Bakery, Cafe",₹ 800 for two approx.,10% Off + 25% Off
The 7a Restaurant and Bar,4.0,"Kharadi, Pune","Cocktail Menu, Multicuisine",₹ 1000 for two approx.,30% Off + 25% Off
Masu,4.3,"Conrad Pune, Pune","Finger Food, Cocktail Menu",₹ 3000 for two approx.,25% Off + 25% Off
Bao Story,5.0,"Hinjawadi, Pune",Asian,₹ 1200 for two approx.,60 Discount + 25% Off
Cafe 15A,4.2,"St Laurn Business Hotel, Pune","Multicuisine, All Day Dining",₹ 1500 for two approx.,25% Off + 25% Off
Piazza Pizza,4.0,"Seasons Mall, Magarpatta",Multicuisine,₹ 600 for two approx.,30% Off + 25% Off
Punjab Grill,3.9,"Phoenix Mall of the Millennium, Wakad",North Indian,₹ 1200 for two approx.,30% Off + 25% Off
Hyde Sky Kitchen & Bar,4.2,"Wakad, Pune",Multicuisine,₹ 1200 for two approx.,50% Off + 25% Off
The Trojan Horse,4.0,"Hinjawadi, Pune",Multicuisine,₹ 1500 for two approx.,50% Off + 25% Off
Pop Tate's,4.5,"Phoenix Market City, Viman Nagar  | View All(4) Outlets",Multicuisine,₹ 2000 for two approx.,25% Off :Payeazy
Tales & Spirits,4.5,"Senapati Bapat Road, Pune  | View All(4) Outlets",Mediterranean,₹ 800 for two approx.,15% Off + 25% Off
The House of Jeera,4.0,"Baner, Pune",Indian,₹ 900 for two approx.,30% Off + 25% Off
Masala Times,4.3,"Camp Area, Pune",Multicuisine,₹ 1000 for two approx.,25% Off :Payeazy
Code The Speakeasy Bar,4.2,"Kothrud, Pune","Cocktail Menu, Multicuisine",₹ 1200 for two approx.,15% Off + 25% Off
360 Degree - The Revolving Fine Dine Restaurant,4.4,"JM Road, Pune",Multicuisine,₹ 1400 for two approx.,25% Off + 25% Off
Tea Villa Cafe,4.8,"Wakad, Pune",Multicuisine,₹ 800 for two approx.,10% Off + 25% Off
Portico,4.4,"Sayaji Hotel, Pune",All Day Dining,₹ 1200 for two approx.,10% Off + 25% Off
The Market,4.5,"The Westin Pune Koregaon Park, Pune",Multicuisine,₹ 2800 for two approx.,25% Off + 25% Off
Circuit House,4.4,"Baner, Pune",Multicuisine,₹ 2000 for two approx.,20% Off + 25% Off
X-Tasy,3.2,"The Pride Hotel, Pune",Multicuisine,₹ 2200 for two approx.,25% Off + 25% Off
Casablanca The Lounge,3.0,"Koregaon Park, Pune",Multicuisine,₹ 1800 for two approx.,25% Off + 25% Off
You Mee,3.8,"Phoenix Mall of the Millennium, Wakad",Pan Asian,₹ 1600 for two approx.,25% Off + 25% Off
Highland ,4.0,"Kalyani Nagar, Pune",Multicuisine,₹ 1400 for two approx.,35% Off + 25% Off
We Idliwale,4.0,"NIBM Road, Pune",South Indian,₹ 600 for two approx.,10% Off + 25% Off
Sorriso,4.6,Marriott Suites Pune,"Italian, Continental",₹ 3500 for two approx.,30% Off + 25% Off
Lola Cafe & Bar,4.5,"Lonavala, Pune",Multicuisine,₹ 1100 for two approx.,10% Off + 25% Off
HAPAA - Asian Stir,4.3,"Kalyani Nagar, Pune",Asian,₹ 1200 for two approx.,20% Off + 25% Off
La Magia,4.3,SUNDERBAN RESORT & SPA,Italian,₹ 2000 for two approx.,25% Off :Payeazy
SMOOR,4.4,"Koregaon Park, Pune",European,₹ 600 for two approx.,10% Off + 25% Off
Da Nonna's,4.0,"Deccan Gymkhana, Pune",Italian,₹ 1200 for two approx.,15% Off + 25% Off
Utse Kitchen,4.0,"Shivajinagar, Central Bengaluru",Asian,₹ 700 for two approx.,25% Off
Nasi and Mee,4.4,"Richmond Town, Central Bengaluru",Asian,₹ 2000 for two approx.,25% Off
Chin Lung Resto Bar,4.4,"Residency Road, Central Bengaluru  | View All(4) Outlets",Multicuisine,₹ 2000 for two approx.,25% Off
Öz By Kebapci,4.5,"UB City, Central Bengaluru",Turkish,₹ 2000 for two approx.,25% Off
BLR Brewing Co,4.4,"Whitefield, East Bengaluru  | View All(4) Outlets",Multicuisine,₹ 2000 for two approx.,25% Off
Juliet,3.8,"1MG Road Mall, MG Road","European, Asian",₹ 3000 for two approx.,25% Off
The Reservoire Cocktail Bar & Kitchen,4.5,"Indiranagar, East Bengaluru",Multicuisine,₹ 2000 for two approx.,25% Off
Maverick & Farmer Coffee,4.6,"Ulsoor, East Bengaluru",Cafe,₹ 2000 for two approx.,25% Off
"Atlantis - Brewpub, Cocktails & Kitchen",4.1,"HSR, South Bengaluru",Multicuisine,₹ 2000 for two approx.,25% Off
One8 Commune,3.8,"MG Road, Central Bengaluru",Multicuisine,₹ 2800 for two approx.,25% Off
Nusa - Tropical Brewvilla,4.1,"Gunjur Village, Bengaluru",Multicuisine,₹ 2000 for two approx.,25% Off
 KoMaama Korean Restaurant,3.6,"Brigade Road, Central Bengaluru",Korean,₹ 2000 for two approx.,25% Off
Helen's Place,3.9,"Marathahalli, East Bengaluru",Multicuisine,₹ 2500 for two approx.,25% Off
The Bier Library,4.5,"Sarjapur Road, South Bengaluru","Cocktail Menu, Multicuisine",₹ 2000 for two approx.,25% Off
ASF - Ancient Stone Flames BBQ & Grill,4.8,"Kalyan Nagar, North Bengaluru  | View All(2) Outlets",North Indian,₹ 2000 for two approx.,25% Off
